timestamp_resource,x_resource,z_resource,rotation_resource,signaling_resource,score_resource,time,timestamp_1,x_1,z_1,rotation_1,signaling_1,score_1,timestamp_2,x_2,z_2,rotation_2,signaling_2,score_2,timestamp_3,x_3,z_3,rotation_3,signaling_3,score_3
37599,-13,14,244,0,0,37.6,37579.0,0.0,-125.0,0.0,0.0,0.0,37619.0,120.0,0.0,0.0,0.0,0.0,37619.0,0.0,120.0,0.0,0.0,0.0
37699,-13,14,244,0,0,37.7,37679.0,0.0,-125.0,0.0,0.0,0.0,37719.0,120.0,0.0,0.0,0.0,0.0,37719.0,0.0,120.0,0.0,0.0,0.0
37799,-14,14,243,0,0,37.8,37779.0,0.0,-125.0,0.0,0.0,0.0,37819.0,120.0,0.0,0.0,0.0,0.0,37819.0,0.0,120.0,0.0,0.0,0.0
37899,-14,14,243,0,0,37.9,37879.0,0.0,-125.0,0.0,0.0,0.0,37919.0,120.0,0.0,0.0,0.0,0.0,37919.0,0.0,120.0,0.0,0.0,0.0
37999,-14,14,243,0,0,38.0,37979.0,0.0,-125.0,0.0,0.0,0.0,38019.0,120.0,0.0,0.0,0.0,0.0,38019.0,0.0,120.0,0.0,0.0,0.0
38099,-15,14,243,0,0,38.1,38079.0,0.0,-125.0,0.0,0.0,0.0,38119.0,120.0,0.0,0.0,0.0,0.0,38119.0,0.0,120.0,0.0,0.0,0.0
38199,-15,14,243,0,0,38.2,38179.0,0.0,-124.0,0.0,0.0,0.0,38219.0,120.0,0.0,0.0,0.0,0.0,38219.0,0.0,120.0,0.0,0.0,0.0
38299,-15,13,243,0,0,38.3,38279.0,0.0,-124.0,0.0,0.0,0.0,38319.0,120.0,0.0,0.0,0.0,0.0,38319.0,0.0,120.0,0.0,0.0,0.0
38399,-16,13,243,0,0,38.4,38379.0,0.0,-124.0,0.0,0.0,0.0,38419.0,120.0,0.0,0.0,0.0,0.0,38419.0,0.0,120.0,0.0,0.0,0.0
38499,-16,13,243,0,0,38.5,38479.0,0.0,-123.0,0.0,0.0,0.0,38519.0,120.0,0.0,0.0,0.0,0.0,38519.0,0.0,120.0,0.0,0.0,0.0
38599,-16,13,243,0,0,38.6,38579.0,0.0,-123.0,0.0,0.0,0.0,38619.0,120.0,0.0,0.0,0.0,0.0,38619.0,0.0,120.0,0.0,0.0,0.0
38699,-17,13,243,0,0,38.7,38679.0,0.0,-122.0,0.0,0.0,0.0,38719.0,120.0,0.0,0.0,0.0,0.0,38719.0,0.0,120.0,0.0,0.0,0.0
38799,-17,13,243,0,0,38.8,38779.0,0.0,-121.0,0.0,0.0,0.0,38819.0,120.0,0.0,0.0,0.0,0.0,38819.0,0.0,120.0,0.0,0.0,0.0
38899,-17,12,243,0,0,38.9,38879.0,0.0,-120.0,0.0,0.0,0.0,38919.0,120.0,0.0,0.0,0.0,0.0,38919.0,0.0,120.0,0.0,0.0,0.0
38999,-18,12,243,0,0,39.0,38979.0,0.0,-120.0,0.0,0.0,0.0,39019.0,120.0,0.0,0.0,0.0,0.0,39019.0,0.0,120.0,0.0,0.0,0.0
39099,-18,12,243,0,0,39.1,39079.0,0.0,-119.0,0.0,0.0,0.0,39119.0,120.0,0.0,0.0,0.0,0.0,39119.0,0.0,120.0,0.0,0.0,0.0
39199,-18,12,242,0,0,39.2,39179.0,0.0,-118.0,0.0,0.0,0.0,39219.0,120.0,0.0,0.0,0.0,0.0,39219.0,0.0,120.0,0.0,0.0,0.0
39299,-18,12,239,0,0,39.3,39279.0,0.0,-118.0,0.0,0.0,0.0,39319.0,120.0,0.0,0.0,0.0,0.0,39319.0,0.0,120.0,0.0,0.0,0.0
39399,-18,12,235,0,0,39.4,39379.0,0.0,-117.0,0.0,0.0,0.0,39419.0,119.0,0.0,358.0,0.0,0.0,39419.0,0.0,120.0,0.0,0.0,0.0
39499,-18,12,225,0,0,39.5,39479.0,0.0,-116.0,0.0,0.0,0.0,39519.0,119.0,1.0,352.0,0.0,0.0,39519.0,0.0,120.0,0.0,0.0,0.0
39599,-18,12,213,0,0,39.6,39579.0,0.0,-116.0,0.0,0.0,0.0,39619.0,119.0,2.0,333.0,0.0,0.0,39619.0,0.0,120.0,0.0,0.0,0.0
39699,-18,12,201,0,0,39.7,39679.0,0.0,-115.0,0.0,0.0,0.0,39719.0,119.0,2.0,318.0,0.0,0.0,39719.0,0.0,120.0,0.0,0.0,0.0
39799,-18,12,189,0,0,39.8,39779.0,0.0,-114.0,0.0,0.0,0.0,39819.0,118.0,3.0,303.0,0.0,0.0,39819.0,0.0,120.0,0.0,0.0,0.0
39899,-18,12,177,0,0,39.9,39879.0,0.0,-113.0,0.0,0.0,0.0,39919.0,118.0,3.0,305.0,0.0,0.0,39919.0,0.0,120.0,0.0,0.0,0.0
39999,-17,12,165,0,0,40.0,39979.0,0.0,-113.0,0.0,0.0,0.0,40019.0,117.0,4.0,311.0,0.0,0.0,40019.0,0.0,120.0,0.0,0.0,0.0
40099,-17,12,153,0,0,40.1,40079.0,0.0,-112.0,0.0,0.0,0.0,40119.0,117.0,4.0,313.0,0.0,0.0,40119.0,0.0,120.0,0.0,0.0,0.0
40199,-17,12,141,0,0,40.2,40179.0,0.0,-111.0,0.0,0.0,0.0,40219.0,116.0,5.0,314.0,0.0,0.0,40219.0,0.0,120.0,0.0,0.0,0.0
40299,-16,12,129,0,0,40.3,40279.0,0.0,-111.0,0.0,0.0,0.0,40319.0,116.0,5.0,314.0,0.0,0.0,40319.0,0.0,120.0,0.0,0.0,0.0
40399,-16,12,117,0,0,40.4,40379.0,0.0,-110.0,0.0,0.0,0.0,40419.0,115.0,6.0,314.0,0.0,0.0,40419.0,0.0,120.0,0.0,0.0,0.0
40499,-16,12,105,0,0,40.5,40479.0,0.0,-109.0,0.0,0.0,0.0,40519.0,115.0,6.0,314.0,0.0,0.0,40519.0,0.0,120.0,0.0,0.0,0.0
40599,-15,12,95,0,0,40.6,40579.0,0.0,-109.0,0.0,0.0,0.0,40619.0,114.0,7.0,314.0,0.0,0.0,40619.0,0.0,120.0,0.0,0.0,0.0
40699,-15,12,89,0,0,40.7,40679.0,0.0,-108.0,0.0,0.0,0.0,40719.0,114.0,7.0,314.0,0.0,0.0,40719.0,0.0,120.0,0.0,0.0,0.0
40799,-15,12,85,0,0,40.8,40779.0,0.0,-107.0,0.0,0.0,0.0,40819.0,113.0,8.0,312.0,0.0,0.0,40819.0,0.0,120.0,0.0,0.0,0.0
40899,-14,12,83,0,0,40.9,40879.0,0.0,-106.0,0.0,0.0,0.0,40919.0,113.0,8.0,304.0,0.0,0.0,40919.0,0.0,120.0,0.0,0.0,0.0
40999,-14,12,81,0,0,41.0,40979.0,0.0,-106.0,0.0,0.0,0.0,41019.0,112.0,8.0,294.0,0.0,0.0,41019.0,0.0,120.0,0.0,0.0,0.0
41099,-13,13,80,0,0,41.1,41079.0,0.0,-105.0,0.0,0.0,0.0,41119.0,111.0,9.0,279.0,0.0,0.0,41119.0,0.0,120.0,0.0,0.0,0.0
41199,-13,13,80,0,0,41.2,41179.0,0.0,-104.0,0.0,0.0,0.0,41219.0,111.0,9.0,268.0,0.0,0.0,41219.0,0.0,120.0,0.0,0.0,0.0
41299,-13,13,79,0,0,41.3,41279.0,0.0,-104.0,0.0,0.0,0.0,41319.0,110.0,9.0,261.0,0.0,0.0,41319.0,0.0,120.0,0.0,0.0,0.0
41399,-12,13,79,0,0,41.4,41379.0,0.0,-103.0,0.0,0.0,0.0,41419.0,109.0,8.0,259.0,0.0,0.0,41419.0,0.0,120.0,0.0,0.0,0.0
41499,-12,13,79,0,0,41.5,41479.0,0.0,-102.0,0.0,0.0,0.0,41519.0,109.0,8.0,259.0,0.0,0.0,41519.0,0.0,120.0,0.0,0.0,0.0
41599,-12,13,79,0,0,41.6,41579.0,0.0,-102.0,0.0,0.0,0.0,41619.0,108.0,8.0,259.0,0.0,0.0,41619.0,0.0,120.0,0.0,0.0,0.0
41699,-12,13,79,0,0,41.7,41679.0,0.0,-101.0,0.0,0.0,0.0,41719.0,107.0,8.0,259.0,0.0,0.0,41719.0,0.0,120.0,0.0,0.0,0.0
41799,-12,13,79,0,0,41.8,41779.0,0.0,-100.0,0.0,0.0,0.0,41819.0,107.0,8.0,259.0,0.0,0.0,41819.0,0.0,120.0,0.0,0.0,0.0
41899,-12,13,79,0,0,41.9,41879.0,0.0,-99.0,0.0,0.0,0.0,41919.0,106.0,8.0,259.0,0.0,0.0,41919.0,0.0,120.0,0.0,0.0,0.0
41999,-12,13,79,0,0,42.0,41979.0,0.0,-99.0,1.0,0.0,0.0,42019.0,105.0,8.0,259.0,0.0,0.0,42019.0,0.0,120.0,0.0,0.0,0.0
42099,-12,13,74,0,0,42.1,42079.0,0.0,-98.0,6.0,0.0,0.0,42119.0,105.0,8.0,259.0,0.0,0.0,42119.0,0.0,120.0,0.0,0.0,0.0
42199,-12,13,65,0,0,42.2,42179.0,0.0,-97.0,16.0,0.0,-1.0,42219.0,104.0,7.0,259.0,0.0,0.0,42219.0,0.0,120.0,0.0,0.0,0.0
42299,-12,13,55,0,0,42.3,42279.0,0.0,-97.0,30.0,0.0,-1.0,42319.0,103.0,7.0,259.0,0.0,0.0,42319.0,0.0,120.0,0.0,0.0,0.0
42399,-12,13,45,0,0,42.4,42379.0,0.0,-96.0,41.0,0.0,-1.0,42419.0,102.0,7.0,259.0,0.0,0.0,42419.0,0.0,120.0,0.0,0.0,0.0
42499,-11,14,38,0,0,42.5,42479.0,1.0,-96.0,47.0,0.0,-1.0,42519.0,102.0,7.0,259.0,0.0,0.0,42519.0,0.0,120.0,0.0,0.0,0.0
42599,-11,14,33,0,0,42.6,42579.0,1.0,-95.0,49.0,0.0,-1.0,42619.0,101.0,7.0,259.0,0.0,0.0,42619.0,0.0,120.0,0.0,0.0,0.0
42699,-11,14,30,0,0,42.7,42679.0,2.0,-95.0,49.0,0.0,-1.0,42719.0,100.0,7.0,259.0,0.0,0.0,42719.0,0.0,120.0,0.0,0.0,0.0
42799,-11,15,28,0,0,42.8,42779.0,2.0,-94.0,49.0,0.0,-1.0,42819.0,100.0,7.0,257.0,0.0,0.0,42819.0,0.0,120.0,0.0,0.0,0.0
42899,-11,15,27,0,0,42.9,42879.0,3.0,-94.0,49.0,0.0,-1.0,42919.0,99.0,6.0,251.0,0.0,0.0,42919.0,0.0,120.0,0.0,0.0,0.0
42999,-11,15,27,0,0,43.0,42979.0,4.0,-93.0,49.0,0.0,-1.0,43019.0,98.0,6.0,241.0,0.0,0.0,43019.0,0.0,120.0,0.0,0.0,0.0
43099,-11,15,26,0,0,43.1,43079.0,4.0,-93.0,49.0,0.0,-1.0,43119.0,98.0,6.0,229.0,0.0,0.0,43119.0,0.0,120.0,0.0,0.0,0.0
43199,-10,16,26,0,0,43.2,43179.0,5.0,-93.0,49.0,0.0,-2.0,43219.0,97.0,5.0,220.0,0.0,0.0,43219.0,0.0,120.0,0.0,0.0,0.0
43299,-10,16,26,0,0,43.3,43279.0,5.0,-92.0,49.0,0.0,-2.0,43319.0,97.0,5.0,214.0,0.0,0.0,43319.0,0.0,120.0,0.0,0.0,0.0
43399,-10,16,26,0,0,43.4,43379.0,6.0,-92.0,49.0,0.0,-2.0,43419.0,96.0,4.0,214.0,0.0,0.0,43419.0,0.0,120.0,0.0,0.0,0.0
43499,-10,17,26,0,0,43.5,43479.0,6.0,-91.0,49.0,0.0,-2.0,43519.0,96.0,4.0,214.0,0.0,0.0,43519.0,0.0,120.0,0.0,0.0,0.0
43599,-10,17,26,0,0,43.6,43579.0,7.0,-91.0,49.0,0.0,-2.0,43619.0,96.0,3.0,214.0,0.0,0.0,43619.0,0.0,120.0,0.0,0.0,0.0
43699,-10,17,25,0,0,43.7,43679.0,7.0,-90.0,49.0,0.0,-2.0,43719.0,95.0,2.0,214.0,0.0,0.0,43719.0,0.0,120.0,0.0,0.0,0.0
43799,-9,18,25,0,0,43.8,43779.0,7.0,-90.0,49.0,0.0,-2.0,43819.0,95.0,2.0,214.0,0.0,0.0,43819.0,0.0,120.0,0.0,0.0,0.0
43899,-9,18,25,0,0,43.9,43879.0,7.0,-90.0,49.0,0.0,-2.0,43919.0,94.0,1.0,214.0,0.0,0.0,43919.0,0.0,120.0,0.0,0.0,0.0
43999,-9,18,25,0,0,44.0,43979.0,7.0,-90.0,49.0,0.0,-2.0,44019.0,94.0,1.0,214.0,0.0,0.0,44019.0,0.0,120.0,0.0,0.0,0.0
44099,-9,19,25,0,0,44.1,44079.0,7.0,-90.0,49.0,0.0,-2.0,44119.0,94.0,0.0,214.0,0.0,0.0,44119.0,0.0,120.0,0.0,0.0,0.0
44199,-9,19,25,0,0,44.2,44179.0,7.0,-90.0,49.0,0.0,-3.0,44219.0,93.0,0.0,214.0,0.0,0.0,44219.0,0.0,120.0,0.0,0.0,0.0
44299,-9,19,25,0,0,44.3,44279.0,7.0,-90.0,49.0,0.0,-3.0,44319.0,93.0,0.0,214.0,0.0,0.0,44319.0,0.0,120.0,0.0,0.0,0.0
44399,-9,20,25,0,0,44.4,44379.0,7.0,-90.0,49.0,0.0,-3.0,44419.0,93.0,-1.0,214.0,0.0,0.0,44419.0,0.0,120.0,0.0,0.0,0.0
44499,-8,20,25,0,0,44.5,44479.0,7.0,-90.0,49.0,0.0,-3.0,44519.0,92.0,-1.0,214.0,0.0,0.0,44519.0,0.0,120.0,0.0,0.0,0.0
44599,-8,20,25,0,0,44.6,44579.0,7.0,-90.0,49.0,0.0,-3.0,44619.0,92.0,-2.0,214.0,0.0,0.0,44619.0,0.0,120.0,0.0,0.0,0.0
44699,-8,20,25,0,0,44.7,44679.0,7.0,-90.0,49.0,0.0,-3.0,44719.0,91.0,-2.0,214.0,0.0,0.0,44719.0,0.0,120.0,0.0,0.0,0.0
44799,-8,21,25,0,0,44.8,44779.0,7.0,-90.0,49.0,0.0,-3.0,44819.0,91.0,-3.0,214.0,0.0,0.0,44819.0,0.0,121.0,359.0,0.0,0.0
44899,-8,21,25,0,0,44.9,44879.0,7.0,-90.0,49.0,0.0,-3.0,44919.0,91.0,-4.0,214.0,0.0,0.0,44919.0,0.0,121.0,355.0,0.0,0.0
44999,-8,21,25,0,0,45.0,44979.0,7.0,-90.0,49.0,0.0,-3.0,45019.0,90.0,-4.0,214.0,0.0,0.0,45019.0,0.0,122.0,337.0,0.0,0.0
45099,-7,22,26,0,0,45.1,45079.0,7.0,-90.0,49.0,0.0,-3.0,45119.0,90.0,-5.0,214.0,0.0,0.0,45119.0,0.0,123.0,324.0,0.0,0.0
45199,-7,22,29,0,0,45.2,45179.0,7.0,-90.0,49.0,0.0,-4.0,45219.0,89.0,-5.0,214.0,0.0,0.0,45219.0,0.0,123.0,310.0,0.0,0.0
45299,-7,22,35,0,0,45.3,45279.0,7.0,-90.0,49.0,0.0,-4.0,45319.0,89.0,-6.0,214.0,0.0,0.0,45319.0,-1.0,124.0,294.0,0.0,0.0
45399,-7,22,43,0,0,45.4,45379.0,7.0,-90.0,49.0,0.0,-4.0,45419.0,89.0,-6.0,214.0,0.0,0.0,45419.0,-2.0,124.0,279.0,0.0,0.0
45499,-7,22,55,0,0,45.5,45479.0,7.0,-90.0,49.0,0.0,-4.0,45519.0,88.0,-7.0,214.0,0.0,0.0,45519.0,-2.0,124.0,264.0,0.0,0.0
45599,-7,22,67,0,0,45.6,45579.0,7.0,-90.0,49.0,0.0,-4.0,45619.0,88.0,-8.0,214.0,0.0,0.0,45619.0,-3.0,124.0,249.0,0.0,0.0
45699,-7,22,79,0,0,45.7,45679.0,7.0,-90.0,49.0,0.0,-4.0,45719.0,87.0,-8.0,214.0,0.0,0.0,45719.0,-4.0,124.0,237.0,0.0,0.0
45799,-7,22,91,0,0,45.8,45779.0,7.0,-90.0,49.0,0.0,-4.0,45819.0,87.0,-9.0,214.0,0.0,0.0,45819.0,-4.0,123.0,230.0,0.0,0.0
45899,-6,21,103,0,0,45.9,45879.0,7.0,-90.0,49.0,0.0,-4.0,45919.0,87.0,-9.0,214.0,0.0,0.0,45919.0,-5.0,123.0,228.0,0.0,0.0
45999,-6,21,115,0,0,46.0,45979.0,7.0,-90.0,49.0,0.0,-4.0,46019.0,86.0,-10.0,214.0,0.0,0.0,46019.0,-5.0,122.0,228.0,0.0,0.0
46099,-6,21,127,0,0,46.1,46079.0,7.0,-90.0,49.0,0.0,-4.0,46119.0,86.0,-10.0,214.0,0.0,0.0,46119.0,-6.0,122.0,228.0,0.0,0.0
